,test,run,write_time,read_time,file_size
0,csv_no_compression,0,357.8310127258301,34.72269320487976,2552990514
1,csv_no_compression,1,343.03336572647095,34.83516788482666,2552990514
2,csv_no_compression,2,349.5685656070709,32.99873399734497,2552990514
3,csv_no_compression,3,340.34586572647095,33.631325483322144,2552990514
4,csv_no_compression,4,338.71702814102173,33.93942403793335,2552990514
5,csv_compression,0,441.27401423454285,42.16205286979675,202175645
6,csv_compression,1,451.9957113265991,42.95918869972229,202175645
7,csv_compression,2,438.3186779022217,45.96518397331238,202175645
8,csv_compression,3,452.99010610580444,44.33340263366699,202175645
9,csv_compression,4,433.8307957649231,44.48508262634277,202175645
10,parquet_no_compression,0,15.541661500930786,9.066412448883057,190907718
11,parquet_no_compression,1,15.183961153030396,9.35898494720459,190907718
12,parquet_no_compression,2,16.0358829498291,8.33785104751587,190907718
13,parquet_no_compression,3,14.535768032073975,8.762031555175781,190907718
14,parquet_no_compression,4,17.786868572235107,10.231542825698853,190907718
15,parquet_compression,0,15.724439859390259,10.340964555740356,190907718
16,parquet_compression,1,15.974623680114746,8.273449897766113,190907718
17,parquet_compression,2,16.243770360946655,8.842992305755615,190907718
18,parquet_compression,3,16.05150532722473,9.430816888809204,190907718
19,parquet_compression,4,15.966210842132568,8.227106809616089,190907718
